coddepto,nomdepto,nomzona
5,ANTIOQUIA,ANDINA
8,ATLANTICO,CARIBE
13,BOLIVAR,CARIBE
15,BOYACA,ANDINA
17,CALDAS,ANDINA
18,CAQUETA,ANDINA
19,CAUCA,ANDINA
20,CESAR,ANDINA
23,CORDOBA,CARIBE
25,CUNDINAMARCA,ANDINA
27,CHOCO,ANDINA
41,HUILA,ANDINA
44,LA GUAJIRA,CARIBE
47,MAGDALENA,CARIBE
50,META,AMAZONIA
52,NARIÃ‘O,ANDINA
54,N. DE SANTANDER,ANDINA
63,QUINDIO,ANDINA
66,RISARALDA,ANDINA
68,SANTANDER,ANDINA
70,SUCRE,CARIBE
73,TOLIMA,ANDINA
76,VALLE DEL CAUCA,PACIFICA
81,ARAUCA,ORINOQUIA
85,CASANARE,ORINOQUIA
86,PUTUMAYO,ANDINA
88,SAN ANDRES,INSULAR
91,AMAZONAS,AMAZONIA
94,GUAINIA,AMAZONIA
95,GUAVIARE,AMAZONIA
97,VAUPES,AMAZONIA
99,VICHADA,AMAZONIA
